"17 ", vrc_formula_lithium_2023_csp, no,"0", "01:11.0010", "20.1770", "23.2120", "27.6120",  "F:ST - R:ST",     
"18 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.3710", "19.9350", "23.2240", "27.2120",  "F:ST - R:ST",     
Average,,,"01:11.4915", "20.8595", "23.2668", "27.3652"
Best possible,,, "01:08.1890", "19.4540", "22.7710", "25.9640"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"radspad113"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:23.5010", "25.6050", "23.3770", "34.5190",  "F:ST - R:ST",     
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:12.1690", "20.9500", "24.6650", "26.5540",  "F:ST - R:ST",     
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.0750", "19.7560", "23.4990", "26.8200",  "F:ST - R:ST",     
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.7820", "19.6250", "23.6210", "26.5360",  "F:ST - R:ST",     
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:12.8850", "21.7200", "24.5340", "26.6310",  "F:ST - R:ST",     
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.1910", "20.1820", "23.4050", "26.6040",  "F:ST - R:ST",     
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.1690", "19.3680", "23.1300", "26.6710",  "F:ST - R:ST",     
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.4710", "20.3190", "23.4940", "26.6580",  "F:ST - R:ST",     
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.8010", "19.6750", "23.3510", "26.7750",  "F:ST - R:ST",     
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:11.5950", "21.3610", "23.3860", "26.8480",  "F:ST - R:ST",     
"11 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.3440", "19.6510", "23.2200", "26.4730",  "F:ST - R:ST",     
"12 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.0900", "19.7120", "23.5180", "26.8600",  "F:ST - R:ST",     
"13 ", vrc_formula_lithium_2023_csp, no,"0", "01:20.4430", "30.2720", "23.5000", "26.6710",  "F:ST - R:ST",     
"14 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.3510", "19.7200", "23.2200", "26.4110",  "F:ST - R:ST",     
"15 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.2580", "19.9660", "23.4990", "26.7930",  "F:ST - R:ST",     
"16 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.9270", "19.7790", "23.4810", "26.6670",  "F:ST - R:ST",     
